NBS 2.0;DESCRIÇÃO
1.1408.1;Serviços fotográficos e videográficos
1.1408.11.00;Serviços fotográficos de retratos
1.1408.12.00;Serviços fotográficos e videográficos para propaganda
1.1408.13.00;Serviços fotográficos e videográficos de eventos
1.1408.14.00;Serviços fotográficos especiais 
1.1408.15.00;Serviços de restauração e retoque de fotografias 
1.1408.19.00;Serviços fotográficos e videográficos não classificados em subposições anteriores
1.1408.20.00;Serviços de processamento de fotografias
1.1409;Serviços especializados de design
1.1409.1;Serviços de design de interiores
1.1409.11.00;Serviços de design de interiores para espaços comerciais e públicos
1.1409.12.00;Serviços de design de interiores para espaços residenciais 
1.1409.2;Serviços de desenho industrial
1.1409.21.00;Serviços de desenho industrial de embalagens, expositores de loja e objetos promocionais para comunicação e vendas
1.1409.22.00;Serviços de desenho industrial de produtos, utensílios, equipamentos, vestuário, calçados, ornamentos, joias e objetos pessoais
1.1409.23.00;Serviços de desenho industrial de máquinas, equipamentos, acessórios e objetos de uso industrial de qualquer natureza
1.1409.24.00;Serviços de desenho industrial de mobiliários e itens de decoração
1.1409.25.00;Serviços de desenho industrial de utensílios e equipamentos eletrodomésticos e eletroeletrônicos
1.1409.29.00;Serviços de desenho industrial não classificados em subposições anteriores
1.1409.30.00;Serviços de design de marcas, imagens, objetos gráficos e digitais
1.1409.90.00;Serviços especializados de design não classificados em subposições anteriores
1.1410;Serviços de consultoria técnica e científica não classificados em posições anteriores
1.1410.10.00;Serviços de consultoria ambiental
1.1410.90.00;Serviços de consultoria técnica e científica não classificados em subposições anteriores
1.1411.00.00;Serviços de tradução e de intérpretes
1.1412.00.00;Serviços para registros de marcas comerciais e de franquias empresariais, exceto as licenças de uso de direito
1.1413.00.00;Serviços de prospecção de clientes
1.1414.00.00;Serviços de prospecção de fornecedores
1.1415.00.00;Serviços profissionais, técnicos e gerenciais não classificados em posições anteriores
1.15;Serviços de tecnologia da informação
1.1501;Serviços de consultoria, de segurança e de suporte em tecnologia da informação (TI) 
1.1501.10.00;Serviços de consultoria em tecnologia da informação (TI) 
1.1501.20.00;Serviços de segurança em tecnologia da informação (TI) 
1.1501.30.00;Serviços de suporte em tecnologia da informação (TI) 
1.1502;Serviços de projeto e desenvolvimento de aplicativos e programas em tecnologia da informação (TI) 
1.1502.10.00;Serviços de projeto, desenvolvimento e instalação de aplicativos e programas não personalizados (não customizados) 
1.1502.20.00;Serviços de projeto e desenvolvimento, adaptação e instalação de aplicativos e programas personalizados (customizados) 
1.1502.30.00;Serviços de projeto e desenvolvimento de estruturas e conteúdo de páginas eletrônicas
1.1502.40.00;Serviços de projeto e desenvolvimento de estruturas e conteúdo de bancos de dados 
1.1502.50.00;Serviços de integração de sistemas em tecnologia da informação (TI) 
1.1502.90.00;Serviços de projeto e desenvolvimento de aplicativos e programas em tecnologia da informação (TI) não classificados em subposições anteriores
1.1503.00.00;Serviços de projeto e desenvolvimento de redes em tecnologia da informação (TI) 
1.1504.00.00;Serviços de projeto e desenvolvimento de topografias de circuitos integrados 
1.1505.00.00;Serviços de projeto de circuitos integrados 
1.1506;Serviços de hospedagem e de disponibilização de infraestrutura em tecnologia da informação (TI) 
1.1506.10.00;Serviços de hospedagem de sítios eletrônicos na rede mundial de computadores 
1.1506.2;Serviços de hospedagem de aplicativos e programas 
1.1506.21.00;Serviços de hospedagem de aplicativos e programas software como serviço (SaaS)
1.1506.22.00;Serviços de fornecimento de infraestrutura como serviço (IaaS)
1.1506.23.00;Serviços de fornecimento de plataformas como serviço (PaaS)
1.1506.29.00;Serviços de hospedagem de aplicativos e programas não classificados em subposições anteriores
1.1506.90.00;Serviços de hospedagem e de disponibilização de infraestrutura em tecnologia da informação (TI) não classificados em subposições anteriores
1.1507;Serviços de gerenciamento de redes e de infraestrutura em tecnologia da informação (TI) 
1.1507.10.00;Serviços de gerenciamento de redes em tecnologia da informação (TI)
1.1507.20.00;Serviços de gerenciamento de sistemas computacionais 
1.1507.90.00;Serviços de gerenciamento de infraestrutura em tecnologia da informação (TI) não classificados em subposições anteriores
1.1508.00.00;Serviços de manutenção de aplicativos e programas 
1.1509.00.00;Serviços de processamento de dados 
1.1510.00.00;Serviços de tecnologia da informação (TI) não classificados em subposições anteriores
1.16;Reservado para possível uso futuro
1.17;Serviços de telecomunicações, difusão e fornecimento de informações
1.1701;Telefonia e outros serviços de telecomunicações, exceto pela rede mundial de computadores
1.1701.1;Serviços de operadoras
1.1701.11.00;Serviços de interconexão pelo uso da rede fixa
1.1701.12.00;Serviços de interconexão pelo uso de rede móvel
1.1701.19.00;Serviços de operadoras não classificados em subposições anteriores
1.1701.2;Serviços de telecomunicações fixas
1.1701.21.00;Serviços de chamadas de telecomunicações fixas comutadas
1.1701.29.00;Serviços de telecomunicações fixas não classificados em subposições anteriores
1.1701.3;Serviços de telecomunicações móveis  
1.1701.31.00;Serviços de voz nas telecomunicações móveis
1.1701.32.00;Serviços de texto nas telecomunicações móveis
1.1701.33.00;Serviços de transmissão de dados nas telecomunicações móveis, exceto serviços de texto
1.1701.34.00;Serviços de telecomunicações móveis para usuários visitantes (roaming)
1.1701.40.00;Serviços de redes privadas 
1.1701.5;Serviços de transmissão de dados e serviços de exploração de linha dedicada
1.1701.51.00;Serviços de transmissão de dados local, nacional ou internacional
1.1701.52.00;Serviços de exploração de linha dedicada local, nacional ou internacional
1.1701.90.00;Serviços de telecomunicações, exceto pela rede mundial de computadores, não classificados em subposições anteriores
1.1702;Serviços de telecomunicações pela rede mundial de computadores
1.1702.10.00;Serviços de fornecimento de infraestrutura de acesso (backbone) à rede mundial de computadores
1.1702.2;Serviços de acesso à rede mundial de computadores
1.1702.21.00;Serviços de acesso à rede mundial de computadores por banda estreita
1.1702.22.00;Serviços de acesso à rede mundial de computadores por banda larga
1.1702.90.00;Serviços de telecomunicações pela rede mundial de computadores não classificados em subposições anteriores
1.1703;Serviços de oferta de conteúdo de acesso imediato (on-line)
1.1703.10.00;Serviços de oferta de livros, jornais, periódicos, diretórios e malas diretas de acesso imediato (on-line)
1.1703.2;Serviços de oferta de áudio de acesso imediato (on-line)
1.1703.21.00;Serviços de oferta de áudio para download
1.1703.22.00;Serviços de oferta de áudio de conteúdo contínuo (streaming)
1.1703.3;Serviços de oferta de arquivos contendo filmes e vídeos de acesso imediato (on-line)
1.1703.31.00;Serviços de oferta de arquivos contendo filmes e vídeos para download
1.1703.32.00;Serviços de oferta de filmes e vídeos de conteúdo contínuo (streaming)
1.1703.9;Serviços de oferta de outros conteúdos de acesso imediato (on-line) pela rede mundial de computadores
1.1703.91.00;Serviços de oferta de jogos de acesso imediato (on-line) 
1.1703.92.00;Serviços de oferta de conteúdo de portais de busca na rede mundial de computadores
1.1703.99.00;Serviços de oferta de outros conteúdos de acesso imediato (on-line) não classificados em subposições anteriores
1.1704;Serviços de agências de notícias
1.1704.10.00;Serviços de agências de notícias para jornais e periódicos
1.1704.20.00;Serviços de agências de notícias para mídia audiovisual
1.1705;Serviços de biblioteca e arquivo
1.1705.10.00;Serviços de biblioteca
1.1705.20.00;Serviços de arquivo
1.1706;Serviços de difusão, programação e distribuição de programas de rádio e televisão
1.1706.1;Serviços de programação dos canais de rádio e televisão
1.1706.11.00;Serviços de programação dos canais de rádio
1.1706.12.00;Serviços de programação dos canais de televisão
1.1706.2;Serviços de transmissão de sinais, sons e imagens de rádio e televisão, aberta ou por assinatura; e serviços de distribuição de pacotes de televisão por assinatura
1.1706.21.00;Serviços de transmissão de sinais, sons e imagens de rádio e televisão, aberta ou por assinatura
1.1706.22.00;Serviços de distribuição de pacotes básicos de programação de televisão por assinatura
1.1706.23.00;Serviços de distribuição de pacotes de programação adicional de televisão por assinatura
1.1706.24.00;"Serviços de distribuição de programas de televisão por assinatura, na modalidade ""pague por exibição"" (pay-per-view)"
1.1706.90.00;Serviços de difusão, programação e distribuição de programas de rádio e televisão não classificados em subposições anteriores
1.18;Serviços de apoio às atividades empresariais
1.1801;Serviços de seleção de pessoal e fornecimento de mão de obra
1.1801.1;Serviços de recrutamento e seleção de pessoal
1.1801.11.00;Serviço de recrutamento e seleção de profissionais executivos
1.1801.12.00;Serviço de recrutamento e seleção de profissionais, exceto executivos
1.1801.2;Serviços de fornecimento de mão de obra 
1.1801.21.00;Serviços de fornecimento de mão de obra terceirizada, exceto temporária
1.1801.22.00;Serviços de fornecimento de mão de obra temporária
1.1801.29.00;Serviços de fornecimento de mão de obra não classificados em subposições anteriores
1.1802;Serviços de investigação e segurança 
1.1802.10.00;Serviços de investigação 
1.1802.20.00;Serviços de consultoria em segurança 
1.1802.30.00;Serviços de sistemas de segurança 
1.1802.40.00;Serviços de carro-forte
1.1802.50.00;Serviços de guarda e escolta armada 
1.1802.90.00;Serviços de segurança não classificados em subposições anteriores
1.1803;Serviços de limpeza 
1.1803.10.00;Serviços gerais de limpeza  
1.1803.2;Serviços especializados de limpeza 
1.1803.21.00;Serviços de desinfecção e extermínio de pragas 
1.1803.22.00;Serviços de limpeza de janelas 
1.1803.29.00;Serviços especializados de limpeza não classificados em subposições anteriores
1.1804.00.00;Serviços de acondicionamento e empacotamento
1.1805;Serviços de planejamento de viagens e serviços relacionados 
1.1805.1;Serviços de reservas para transporte de passageiros 
1.1805.11.00;Serviços de reservas para transporte aéreo de passageiros
1.1805.12.00;Serviços de reservas para transporte ferroviário de passageiros
1.1805.13.00;Serviços de reservas para transporte rodoviário de passageiros 
1.1805.14.00;Serviços de reservas de carros de aluguel
1.1805.19.00;Serviços de reservas para transporte de passageiros não classificados em subposições anteriores
1.1805.2;Serviços de reservas de hospedagem, reservas em cruzeiros e reservas de pacotes turísticos 
1.1805.21.00;Serviços de reservas de hospedagem, exceto em unidades compartilhadas 
1.1805.22.00;Serviços de reservas e intercâmbio de unidades compartilhadas (time-share)  
1.1805.23.00;Serviços de reservas em cruzeiros 
1.1805.24.00;Serviços de reservas de pacotes turísticos 
1.1805.3;Outros serviços de reservas 
1.1805.31.00;Serviços de reservas para centros de convenções, auditórios e salas de exposições
1.1805.32.00;Serviços de reservas de ingressos para eventos de entretenimento e recreativos  
1.1805.39.00;Serviços de reservas não classificados em subposições anteriores
1.1805.40.00;Serviços de operadoras de turismo  
1.1805.50.00;Serviços de guias turísticos 
1.1805.6;Serviços de promoção turística e de informação a visitantes
1.1805.61.00;Serviços de promoção turística 
1.1805.62.00;Serviços de informação a visitantes 
1.1806;Outros serviços de apoio às atividades empresariais
1.1806.10.00;Serviços de informação cadastral e análise de crédito
1.1806.20.00;Serviços de cobrança 
1.1806.3;Serviços de apoio às atividades empresariais por meio de telefone 
1.1806.31.00;Serviços de call center 
1.1806.39.00;Serviços de apoio às atividades empresariais por meio de telefone não classificados em subposições anteriores
1.1806.40.00;Serviços combinados de escritório e apoio administrativo 
1.1806.5;Serviços especializados de apoio a escritório 
1.1806.51.00;Serviços de fotocópias e outros serviços de reprodução de documentos
1.1806.52.00;Serviços de execução e envio de mala direta e de elaboração de listas de endereços 
1.1806.53.00;Serviços de preparação de documentos 
1.1806.59.00;Serviços especializados de apoio a escritório não classificados em subposições anteriores
1.1806.6;Serviços de assistência e organização de convenções, feiras de negócios, exposições e outros eventos 
1.1806.61.00;Serviços de assistência e organização de convenções 
1.1806.62.00;Serviços de assistência e organização de feiras de negócios
1.1806.63.00;Serviços de assistência e organização de exposições e outros eventos 
1.1806.70.00;Serviços de jardinagem  
1.1806.8;Serviços de agenciamento de modelos, artistas e atletas
1.1806.81.00;Serviços de agenciamento de modelos
1.1806.82.00;Serviços de agenciamento de artistas
1.1806.83.00;Serviços de agenciamento de atletas
1.1806.90.00;Serviços de apoio não classificados em subposições anteriores
1.19;Serviços de apoio à agricultura, pecuária, silvicultura, pesca, aquicultura, extração mineral e à transmissão e distribuição de eletricidade, gás e água
1.1901;Serviços de apoio à agricultura, pecuária, produção florestal (silvicultura), pesca e aquicultura
1.1901.10.00;Serviços de apoio à agricultura
1.1901.20.00;Serviços de apoio à pecuária
1.1901.30.00;Serviços de apoio à produção florestal (silvicultura)
1.1901.40.00;Serviços de apoio à pesca
1.1901.50.00;Serviços de apoio à aquicultura
1.1902;Serviços de apoio à mineração
1.1902.10.00;Serviços de apoio à extração de petróleo e gás
1.1902.90.00;Serviços de apoio à mineração não classificados em subposições anteriores
1.1903;Serviços de apoio à transmissão e distribuição de eletricidade e à distribuição de gás e água
1.1903.1;Serviços de apoio à transmissão e distribuição de eletricidade
1.1903.11.00;Serviços de apoio à transmissão de eletricidade
1.1903.12.00;Serviços de apoio à distribuição de eletricidade
1.1903.20.00;Serviços de apoio à distribuição de gás por meio de tubulações
1.1903.30.00;Serviços de apoio à distribuição de água por meio de tubulações, exceto vapor de água e água quente
1.1903.40.00;Serviços de apoio à distribuição de vapor de água, água quente e ar condicionado por meio de tubulações
1.1903.50.00;Serviços de apoio à distribuição de água, exceto por meio de tubulações
1.20;Serviços de manutenção, reparação e instalação (exceto construção)
1.2001;Serviços de manutenção e reparação de produtos metálicos, maquinários e equipamentos
1.2001.10.00;Serviços de manutenção e reparação de produtos metálicos, exceto maquinários e equipamentos
1.2001.20.00;Serviços de manutenção e reparação de computadores e seus periféricos e de maquinário para escritório
1.2001.3;Serviços de manutenção e reparação de maquinários e equipamentos de transporte
1.2001.31;Serviços de manutenção e reparação de veículos rodoviários 
1.2001.31.10;Serviços de manutenção e reparação de veículos rodoviários motorizados
1.2001.31.20;Serviços de manutenção e reparação de veículos rodoviários não motorizados
1.2001.32.00;Serviços de manutenção e reparação de veículos sobre trilhos
1.2001.33.00;Serviços de manutenção e reparação de veículos aquaviários
1.2001.34;Serviços de manutenção e reparação de veículos de transporte aéreo e aeroespacial
1.2001.34.10;Serviços de manutenção e reparação de aeronaves, exceto de motores, turborreatores e turbopropulsores aeronáuticos
1.2001.34.20;Serviços de manutenção e reparação de motores, turborreatores e turbopropulsores aeronáuticos
1.2001.34.30;Serviços de manutenção e reparação de foguetes e equipamentos aeroespaciais 
1.2001.35.00;Serviços de manutenção e reparação de veículos militares
1.2001.39.00;Serviços de manutenção e reparação de maquinários e equipamentos de transporte não classificados em subposições anteriores
1.2001.40.00;Serviços de manutenção e reparação de plataformas, inclusive navios-plataforma, para extração de petróleo e gás
1.2001.50.00;Serviços de manutenção e reparação de maquinários e equipamentos de uso industrial
1.2001.60.00;Serviços de manutenção e reparação de maquinários e equipamentos de uso comercial
1.2001.70.00;Serviços de manutenção e reparação de equipamentos e aparelhos de telecomunicações
1.2001.8;Serviços de manutenção e reparação de outros maquinários e equipamentos
1.2001.81.00;Serviços de manutenção e reparação de aparelhos eletroeletrônicos domésticos
1.2001.82.00;Serviços de manutenção e reparação de instrumentos e equipamentos médico-hospitalares, odontológicos, óticos e de precisão
1.2001.83.00;Serviços de manutenção e reparação de equipamentos militares
1.2001.89.00;Serviços de manutenção e reparação de outros maquinários e equipamentos não classificados em subposições anteriores
1.2002;Serviços de manutenção e reparação de outros bens de consumo
1.2002.10.00;Serviços de manutenção e reparação de produtos de couro, calçados, malas e bolsas
1.2002.20.00;Serviços de manutenção e reparação de relógios e joias
1.2002.30.00;Serviços de manutenção e reparação de móveis
1.2002.40.00;Serviços de manutenção de roupas e outros produtos têxteis 
1.2002.90.00;Serviços de manutenção e reparação de outros bens de consumo não classificados em subposições anteriores
1.2003;Serviços de instalação, exceto os de construção
1.2003.10.00;Serviços de instalação de produtos metálicos, exceto maquinário e equipamentos
1.2003.2;Serviços de instalação de maquinários, aparelhos e equipamentos
1.2003.21;Serviços de instalação de maquinários, aparelhos e equipamentos industriais
1.2003.21.10;Serviços de montagem sob encomenda de turbinas industriais
1.2003.21.90;Serviços de instalação de maquinários, aparelhos e equipamentos industriais não classificados em itens anteriores
1.2003.22.00;Serviços de instalação de computadores e seus periféricos e maquinário de escritório
1.2003.23.00;Serviços de instalação de equipamentos e aparelhos de comunicação, incluindo de rádio e de televisão
1.2003.24.00;Serviços de instalação de maquinários, equipamentos, instrumentos e aparelhos médico-hospitalares, óticos e de precisão
1.2003.25;Serviços de instalação de sensores e sistemas de armas e de instalação de maquinários, aparelhos e equipamentos de emprego militar
1.2003.25.10;Serviços de instalação de sensores e sistemas de armas
1.2003.25.20;Serviços de instalação de maquinários, aparelhos e equipamentos de emprego militar
1.2003.26;Serviços de instalação de maquinários e equipamentos de transporte
1.2003.26.10;Serviços de montagem sob encomenda de motores, turborreatores e turbopropulsores aeronáuticos
1.2003.26.90;Serviços de instalação de maquinários e equipamentos de transporte não classificados em itens anteriores
1.2003.29.00;Serviços de instalação de maquinários, aparelhos e equipamentos não classificados em subposições anteriores
1.21;Serviços de publicação, impressão e reprodução
1.2101;Serviços de editoração, impressão, reprodução e publicação
1.2101.10.00;Serviços de editoração
1.2101.2;Serviços de impressão e reprodução de mídia gravada
1.2101.21.00;Serviços de impressão
1.2101.22.00;Serviços relacionados à impressão
1.2101.23.00;Serviços de reprodução de mídia gravada
1.2101.30.00;Serviços de publicação 
1.22;Serviços educacionais
1.2201;Serviços de educação básica 
1.2201.1;Serviços de educação infantil
1.2201.11.00;Serviços de creche ou entidade equivalente
1.2201.12.00;Serviços de pré-escola
1.2201.19.00;Serviços de educação infantil não classificados em subposições anteriores
1.2201.20.00;Serviços de ensino fundamental
1.2201.30.00;Serviços de ensino médio
1.2202.00.00;Serviços de educação técnica de nível médio
1.2203;Serviços de educação de jovens e adultos
1.2203.10.00;Serviços de ensino fundamental de jovens e adultos
1.2203.20.00;Serviços de ensino médio de jovens e adultos
1.2204;Serviços de educação superior
1.2204.10.00;Serviços educacionais de graduação
1.2204.20.00;Serviços educacionais de pós-graduação
1.2204.30.00;Serviços educacionais de extensão
1.2204.40.00;Serviços educacionais de cursos sequenciais
1.2205;Outros serviços educacionais, incluindo de treinamento, e serviços de apoio aos serviços educacionais
1.2205.1;Outros serviços de educação, inclusive treinamento 
1.2205.11.00;Serviços de educação com enfoque cultural 
1.2205.12.00;Serviços de educação desportiva e recreacional 
1.2205.13.00;Serviços de educação em línguas estrangeiras e de sinais
1.2205.14.00;Serviços de palestras e conferências
1.2205.19.00;Serviços de educação, inclusive treinamento não classificados em subposições anteriores
1.2205.20.00;Serviços de apoio aos serviços educacionais 
1.23;Serviços relacionados à saúde humana e de assistência social
1.2301;Serviços de saúde humana 
1.2301.1;Serviços hospitalares 
1.2301.11.00;Serviços cirúrgicos 
1.2301.12.00;Serviços ginecológicos e obstétricos 
1.2301.13.00;Serviços psiquiátricos 
1.2301.14.00;Serviços prestados em Unidades de Terapia Intensiva
1.2301.15.00;Serviços de atendimento de urgência 
1.2301.19.00;Serviços hospitalares não classificados em subposições anteriores
1.2301.2;Serviços médicos não hospitalares e serviços odontológicos
1.2301.21.00;Serviços de clínica médica 
1.2301.22.00;Serviços médicos especializados 
1.2301.23.00;Serviços odontológicos
1.2301.9;Outros serviços de saúde humana 
1.2301.91.00;Serviços de enfermagem 
1.2301.92.00;Serviços de fisioterapia 
1.2301.93.00;Serviços laboratoriais 
1.2301.94.00;Serviços de diagnóstico por imagem
1.2301.95.00;Serviços de bancos de material biológico humano 
1.2301.96.00;Serviços de ambulância 
1.2301.97.00;Serviços de assistência ao parto e pós-parto
1.2301.98.00;Serviços de psicologia
1.2301.99.00;Outros serviços de saúde humana não classificados em subposições anteriores
1.2302;Serviços de cuidado e assistência a idosos e pessoas com deficiência em unidades de acolhimento
1.2302.10.00;Serviços de cuidado em saúde em unidades de acolhimento
1.2302.2;Serviços de assistência a idosos e pessoas com deficiência em unidades de acolhimento
1.2302.21.00;Serviços de assistência a idosos em unidades de acolhimento 
1.2302.22.00;Serviços de assistência a crianças e adolescentes com deficiência em unidades de acolhimento 
1.2302.23.00;Serviços de assistência a adultos com deficiência em unidades de acolhimento
1.2303.00.00;Serviços de assistência social com acomodação
1.2304;Serviços de assistência social sem acomodação 
1.2304.1;Serviços de reabilitação vocacional 
1.2304.11.00;Serviços de reabilitação vocacional para pessoas com deficiência
1.2304.12.00;Serviços de reabilitação vocacional para desempregados
1.2304.19.00;Serviço de reabilitação vocacional não classificados nas subposições anteriores
1.2304.20.00;Serviços de orientação e aconselhamento relacionados a crianças e adolescentes
1.2304.90.00;Serviços de assistência social sem acomodação não classificados em subposições anteriores
1.24;Serviços de coleta, tratamento e eliminação de esgoto e resíduos e outros serviços de proteção ambiental
1.2401.00.00;Serviços de tratamento de água 
1.2402;Serviços de esgoto, tratamento de esgotos e limpeza de fossas sépticas 
1.2402.10.00;Serviços de esgoto e tratamento de esgotos 
1.2402.20.00;Serviços de esvaziamento e limpeza de fossas sépticas 
1.2403;Serviços de coleta de resíduos 
1.2403.1;Serviços de coleta de resíduos perigosos
1.2403.11.00;Serviços de coleta de resíduos de serviços de saúde e outros resíduos biológicos 
1.2403.12.00;Serviços de coleta de resíduos perigosos industriais, exceto resíduos de serviços de saúde e outros resíduos biológicos
1.2403.19.00;Serviços de coleta de outros resíduos perigosos não classificados em subposições anteriores
1.2403.2;Serviços de coleta de resíduos recicláveis não perigosos
1.2403.21.00;Serviços de coleta de resíduos recicláveis, não perigosos, de origem doméstica  
1.2403.22.00;Serviços de coleta de resíduos recicláveis, não perigosos, exceto de origem doméstica
1.2403.3;Serviços de coleta de resíduos gerais
1.2403.31.00;Serviços de coleta de resíduos gerais de origem doméstica
1.2403.32.00;Serviços de coleta de resíduos gerais, exceto de origem doméstica
1.2404;Serviços de tratamento e eliminação de resíduos 
1.2404.1;Serviços de triagem, preparação, consolidação e estocagem de resíduos  
1.2404.11.00;Serviços de triagem, preparação, consolidação e estocagem de resíduos perigosos 
1.2404.12.00;Serviços de demolição e desmantelamento de embarcações, veículos e outros bens
1.2404.13.00;Serviços de triagem, preparação, consolidação e estocagem de resíduos recicláveis não perigosos
1.2404.19.00;Serviços de triagem, preparação, consolidação e estocagem de resíduos não perigosos, exceto os recicláveis
1.2404.2;Serviços de tratamento e eliminação de resíduos perigosos
1.2404.21.00;Serviços de tratamento de resíduos perigosos
1.2404.22.00;Serviços de eliminação de resíduos perigosos
1.2404.3;Serviços de tratamento e eliminação de resíduos não perigosos 
1.2404.31.00;Serviços de tratamento e eliminação de resíduos não perigosos em aterros sanitários
1.2404.32.00;Serviços de tratamento e eliminação de resíduos não perigosos em aterros, exceto os sanitários
1.2404.33.00;Serviços de incineração de resíduos não perigosos
1.2404.39.00;Serviços de tratamento e eliminação de resíduos não perigosos não classificados em subposições anteriores
1.2405;Serviços de remediação e contenção de contaminantes 
1.2405.1;Serviços de remediação e limpeza de áreas contaminadas 
1.2405.11.00;Serviços de remediação e limpeza do ar 
1.2405.12.00;Serviços de remediação e limpeza de águas de superfície 
1.2405.13.00;Serviços de remediação e limpeza do solo e de águas subterrâneas 
1.2405.14.00;Serviços de remediação em edificações 
1.2405.20.00;Serviços de contenção, controle e monitoramento de áreas contaminadas
1.2405.90.00;Serviços de remediação não classificados em subposições anteriores
1.2406;Serviços de limpeza urbana e similares
1.2406.10.00;Serviços de varrição de vias e áreas públicas 
1.2406.90.00;Serviços de limpeza urbana e similares não classificados em subposições anteriores
1.2407.00.00;Serviços de proteção ambiental não classificados em posições anteriores
1.25;Serviços recreativos, culturais e desportivos
1.2501;Serviços de produção audiovisual, de apoio e relacionados
1.2501.1;Serviços de gravação de som
1.2501.11.00;Serviços de gravação de som em estúdio
1.2501.12.00;Serviços de gravação de som ao vivo
1.2501.2;Serviços de produção de programas de rádio e televisão, videoteipes e filmes
1.2501.21.00;Serviços de produção de programas de televisão, videoteipes e filmes
1.2501.22.00;Serviços de produção de programas de rádio
1.2501.3;Serviços de pós-produção de obras audiovisuais
1.2501.31.00;Serviços de edição de obras audiovisuais
1.2501.32.00;Serviços de duplicação e transferência de obras audiovisuais
1.2501.33.00;Serviços de correção de cor e restauração digital de obras audiovisuais
1.2501.34.00;Serviços de efeitos visuais em obras audiovisuais
1.2501.35.00;Serviços de animação
1.2501.36.00;Serviços de legendas, títulos e dublagem em obras audiovisuais
1.2501.37.00;Serviços de projeto e edição de som em obras audiovisuais
1.2501.39.00;Serviços de pós-produção de obras audiovisuais não classificados em subposições anteriores
1.2501.40.00;Serviços de agenciamento para a comercialização de obras audiovisuais
1.2501.50.00;Serviços de projeção de filmes
1.2501.90.00;Serviços de produção audiovisual, de apoio e relacionados não classificados em subposições anteriores
1.2502;Serviços de apresentação e promoção de atuações artísticas e outros serviços de entretenimento ao vivo
1.2502.10.00;Serviços de organização e promoção de atuações artísticas ao vivo
1.2502.20.00;Serviços de produção e apresentação de atuações artísticas ao vivo
1.2502.30.00;Serviços de apoio para atuações artísticas ao vivo
1.2502.90.00;Serviços de apresentação e promoção de atuações artísticas e outros serviços de entretenimento ao vivo não classificados em subposições anteriores
1.2503;Serviços de atuação artística e outros serviços artísticos
1.2503.10.00;Serviços de atuação artística
1.2503.20.00;Serviços de autores, compositores, escultores, pintores e outros artistas, exceto os de atuação artística
1.2504;Serviços de museus e de preservação e serviços de reservas botânica, zoológica e natural
1.2504.1;Serviços de museus e de preservação de locais e construções históricas
1.2504.11.00;Serviços de museus
1.2504.12.00;Serviços de preservação e operação de locais e construções históricas
1.2504.2;Serviços de reservas botânica, zoológica e natural
1.2504.21.00;Serviços de jardins botânico e zoológico 
1.2504.22.00;Serviços de reserva natural, incluindo preservação de vida selvagem
1.2505;Serviços desportivos e recreacionais desportivos
1.2505.10.00;Serviços de organização e promoção de eventos desportivos e recreacionais desportivos
1.2505.20.00;Serviços de clubes desportivos
1.2505.90.00;Serviços desportivos e recreacionais desportivos não classificados em subposições anteriores
1.2506.00.00;Serviços fornecidos por atletas e desportistas, por conta própria, e serviços de apoio relacionados com desportes e recreação desportiva
1.2507;Serviços de parques de diversão e atrações similares
1.2507.10.00;Serviços de parques temáticos de diversão
1.2507.90.00;Serviços de parques de diversão e atrações similares não classificados em subposições anteriores
1.2508.00.00;Serviços recreativos, culturais e desportivos não classificados em posições anteriores
1.26;Serviços pessoais
1.2601;Serviços de lavanderia e tinturaria
1.2601.10.00;Serviços de limpeza de têxteis, exceto quando realizados a seco
1.2601.20.00;Serviços de limpeza a seco
1.2601.30.00;Serviços de tinturaria
1.2601.40.00;Serviços de passadoria de roupas e outros artigos têxteis
1.2601.90.00;Serviços de lavanderia não classificados em subposições anteriores
1.2602;Serviços de tratamento de beleza e bem-estar físico 
1.2602.10.00;Serviços de cabeleireiros e barbeiros 
1.2602.20.00;Serviços de manicure, pedicure e tratamento cosmético 
1.2602.30.00;Serviços de bem-estar físico 
1.2602.90.00;Serviços de tratamento de beleza e bem-estar físico não classificados em subposições anteriores
1.2603.00.00;Serviços funerários, de cremação e de embalsamamento
1.2604.00.00;Serviços de confecção de roupas e outros artigos têxteis
1.2605.00.00;Serviços domésticos
1.2606.00.00;Serviços pessoais não classificados em posições anteriores
